rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1253	366	104	0.021	91.849	1.0	863.6505	1804.8369	wiki:39%	,
1254	847	104	0.021	91.87	0.067	1107.2461	1702.4728	code:87%	0  True  None  form  username  search
1255	1495	104	0.021	91.891	0.431	661.4053	1039.5107	math:81%	 we  We We  also  authors  and
1256	1682	104	0.021	91.913	0.324	947.6709	1544.4219	wiki:40%	 pre Pre  Pre pre .Pre
1257	1712	104	0.021	91.934	0.429	402.0928	543.0146	code:98%	 License #       ##  *
1258	1745	104	0.021	91.955	0.767	804.5128	1468.7235	web:41%	 is  are  also  currently  was  now
1259	1929	104	0.021	91.976	0.722	906.2715	1585.5978	pile:28%	  .
1260	146	103	0.021	91.997	0.609	938.7266	1596.165	wiki:35%	 non non  Non Non on ON
1261	157	103	0.021	92.018	1.0	911.1485	1535.9296	code:50%	 
1262	318	103	0.021	92.039	0.852	1010.7793	1577.041	wiki:56%	 the the ’s 's
1263	376	103	0.021	92.06	0.249	852.166	1237.2899	wiki:66%	160 200 195 201 190 145
1264	614	103	0.021	92.081	0.831	865.5229	1530.014	math:45%	  . -
1265	775	103	0.021	92.102	0.02	1218.4071	1987.3041	code:81%	/path save logs ations empty /file
1266	804	103	0.021	92.123	0.862	870.1329	1372.5693	code:100%	,    
1267	1112	103	0.021	92.144	1.0	40.0898	40.7715	code:100%	:
1268	1291	103	0.021	92.165	0.862	1011.0312	1541.91	pile:100%	 a  A
1269	669	102	0.021	92.185	0.035	1049.3779	1938.5968	pile:79%	) es in ide ant ose
1270	742	102	0.021	92.206	0.347	1205.1982	1867.1904	math:82%	\n\n .\n\n \n .\n ).\n \xa0
1271	783	102	0.021	92.227	0.198	863.3145	1508.1527	wiki:78%	 of  in  and  to  from ,
1272	1109	102	0.021	92.248	1.0	458.1866	1019.1728	wiki:56%	 
1273	1558	102	0.021	92.268	1.0	955.8682	1596.9025	web:50%	 
1274	1105	101	0.021	92.289	0.109	584.4443	947.9707	wiki:56%	200 199 197 198 178 190
1275	1557	101	0.021	92.309	0.424	939.0289	1587.1138	pile:38%	 high  low  High  higher high  highest
1276	1568	101	0.021	92.33	1.0	898.5742	1828.1464	pile:36%	.
