rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
244	934	465	0.095	35.462	0.087	1298.6732	1984.9064	wiki:52%	ians ans  Jews  rats  mice  troops
245	1046	465	0.095	35.557	0.835	1170.1348	1931.2482	web:31%	 with  With with -with _with  med
246	1076	465	0.095	35.651	0.036	1083.7509	1546.1671	wiki:70%	berg more el ill  Ridge ier
247	1876	465	0.095	35.746	0.251	837.0977	1573.007	web:36%	 it  It It it
248	431	462	0.094	35.84	1.0	851.5743	1458.8408	wiki:59%	 a
249	1572	462	0.094	35.934	0.052	864.2294	1736.0397	code:31%	. St  La  l  Eu lu
250	1630	462	0.094	36.028	0.175	953.4213	1712.6915	wiki:91%	ian ic an  Roman atic antine
251	1758	462	0.094	36.122	0.901	996.9835	1611.1464	wiki:33%	 with with  With
252	1177	461	0.094	36.215	0.284	1384.043	2334.9385	wiki:57%	 often  usually  typically  commonly  sometimes  frequently
253	1355	461	0.094	36.309	1.0	947.6777	1496.4443	pile:50%	 in
254	1875	460	0.094	36.403	0.955	1049.0402	1647.37	wiki:37%	 that that
255	1918	460	0.094	36.496	0.069	1097.0361	2042.9843	code:82%	.add  create  load  save  register  update
256	175	458	0.093	36.589	0.211	558.8047	1242.6758	code:86%	. -    A __ (
257	24	457	0.093	36.682	0.072	513.1542	1160.2417	wiki:33%	 Le  Ma  Th  Se  Be  La
258	83	457	0.093	36.775	0.789	1335.1642	1772.8798	code:34%	; "); "; .; );
259	515	457	0.093	36.868	0.518	1093.035	2129.6445	pile:27%	 these  These  those these These
260	1305	457	0.093	36.961	0.09	1144.3066	1823.682	code:74%	js EC CONFIG TT _TYPE  action
261	315	456	0.093	37.054	0.955	693.8555	1376.1981	math:41%	 that  que
262	77	455	0.093	37.147	0.037	889.5527	1619.4141	code:93%	lyph  config  soup  request  ts  db
263	693	451	0.092	37.238	0.678	876.9766	1473.2324	math:61%	. ). $. |.
264	1174	450	0.092	37.33	0.837	1016.2441	1723.5294	web:33%	 with  With with  con With  mit
265	1865	448	0.091	37.421	0.01	1020.3087	1714.4435	math:29%	 is  are
266	546	447	0.091	37.512	0.745	1176.3887	2086.5168	math:35%	, ),  , ., *, -,
267	896	447	0.091	37.603	0.418	939.4951	1586.0441	code:92%	', ", , ’, >',
268	990	447	0.091	37.694	0.276	940.5956	1680.4786	math:90%	x  x (x y t n
269	626	445	0.091	37.784	0.1	1281.4843	1956.7056	math:35%	 rate  order  position  ratio  shape  structure
270	559	443	0.09	37.874	1.0	710.959	1527.7013	math:36%	 
271	524	442	0.09	37.964	0.943	1089.1085	2029.4904	math:38%	1 01  I
272	644	442	0.09	38.054	0.858	1083.7559	1782.9141	web:26%	 from from  FROM  dari -from
273	747	442	0.09	38.144	0.647	1185.9629	1992.1632	math:31%	, ), $,  , ], >,
274	98	441	0.09	38.234	0.058	1135.0625	2139.9468	wiki:27%	ing  flowering  operating  containing  floating  forming
275	163	441	0.09	38.324	0.376	863.1523	1440.0887	code:86%	': ":  : : ):
276	366	441	0.09	38.413	0.919	1230.5439	1865.6007	web:37%	, ),
277	186	440	0.09	38.503	0.919	1098.7491	1768.7344	web:37%	 on on
278	64	438	0.089	38.592	0.086	1155.3096	1858.4229	wiki:48%	 schools  companies  churches  forces  organizations  courts
279	324	437	0.089	38.681	0.06	997.6401	1783.6982	web:36%	 football  film  music  entertainment  Chess  sports
280	403	437	0.089	38.77	0.893	1249.9423	1890.1554	web:47%	 will 'll ill will ’ll
281	483	436	0.089	38.858	0.023	986.4278	1718.7051	pile:25%	M AP G PL ECT rf
282	1421	436	0.089	38.947	0.426	1172.8945	2011.3885	math:95%	left  ( ( {( )( }(
283	1027	435	0.088	39.036	0.021	531.4902	987.0308	wiki:32%	el ik str z ak le
284	422	432	0.088	39.123	0.021	845.7079	1526.4375	math:28%	o ario son a aille es
